Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,32.54542541503906,35.424693329871594,26.90012004829192,29.05148348598712,855215656
2007-10-08,30.87933349609375,33.64537091874948,30.685224759991605,33.64537091874948,126671715
2007-10-09,32.98216247558594,33.27332333144522,29.2294103669374,30.895501630729346,116725709
2007-10-10,33.28950881958008,33.96888726698826,32.998347881527316,33.83948069921518,67931378
2007-10-11,37.00990676879883,38.82158101766896,32.99834518139679,38.82158101766896,106320954
2007-10-12,36.767276763916016,38.142207627787506,35.909967808734656,36.23348095317501,99410791
2007-10-15,37.252540588378906,37.753988515704634,36.9290274951083,37.52752759524435,41814972
2007-10-16,41.0538330078125,41.70086379620668,37.042270202511624,37.30107900752642,138614496
2007-10-17,44.256614685058594,45.291854234206724,34.324756053270605,36.880511506227435,204876259
2007-10-18,42.70374298095703,48.34904899278738,40.875894629309066,44.96833494637907,146617799
2007-10-19,42.55815124511719,44.28894686329784,40.43913822901563,41.73319037151684,110266491
2007-10-22,41.992008209228516,43.30223439737445,40.600899365049735,41.7008473216324,72253405
2007-10-23,44.98451614379883,45.388907592335194,43.027258900125965,43.027258900125965,74594921
2007-10-24,44.28894805908203,46.42413502944351,43.787500207568094,45.93886107497698,63055170
2007-10-25,44.19190216064453,45.22714590719954,39.03186610466896,42.78461920102142,34522489
2007-10-26,45.518287658691406,46.24619187715094,43.755140129919134,44.9683138273517,62370025
2007-10-29,46.44032669067383,47.556448875821474,46.03593523053746,46.262396203385094,43657697
2007-10-30,47.475547790527344,48.75342155828727,45.68004793679414,47.0711565245414,79921711
2007-10-31,48.4622688293457,49.529864582852305,47.55643399721294,47.718190530659996,44655368
2007-11-01,47.37851333618164,50.03132303264523,46.99030017265182,49.659283772122784,50632492
2007-11-02,48.23582458496094,48.52698995605722,45.29185378197742,45.66389744772749,32001693
2007-11-05,49.2225456237793,50.30631572043101,47.91231453215131,48.20347992224327,38833135
2007-11-06,49.869564056396484,53.02381724977588,49.19018556792919,50.0798467250362,81880281
2007-11-07,49.141658782958984,51.50330297529513,48.04171497266445,50.79157669236471,33593141
2007-11-08,48.30050277709961,49.61073307256377,47.23291162191484,47.87993762819068,27990521
2007-11-12,49.465152740478516,50.33863964428579,45.56681824065849,46.84469641698281,35153735
2007-11-13,50.645992279052734,51.66505776839079,48.70491348491256,50.30630524524928,43830531
2007-11-14,49.9827995300293,52.24739179257758,49.723986352981065,51.535661040605355,36738579
2007-11-15,50.823917388916016,51.71357833230089,49.86955207629606,50.92096955484181,29242252
2007-11-16,50.46806335449219,51.616533254301935,49.88573706568886,50.59746773380588,18895294
2007-11-19,52.2959098815918,54.1884625744143,51.228318305090724,51.61653142930581,40716718
2007-11-20,51.48712921142578,53.54143855571067,50.856276824748555,52.08562940608123,26342171
2007-11-21,47.475547790527344,52.10178211823605,46.32707396237164,51.79444738884238,26814499
2007-11-22,45.8418083190918,48.882834406764225,43.852203999806086,46.97410395958749,34096185
2007-11-23,48.882835388183594,49.1739962525714,46.13297010384437,48.85048320593461,27664090
2007-11-26,49.27105712890625,50.694513908374624,48.88284403701158,50.694513908374624,20159123
2007-11-27,48.057891845703125,50.11220131147805,47.556448197458074,50.11220131147805,20573198
2007-11-28,47.34616470336914,49.3357743193289,47.02265151546394,49.109313332623884,16435311
2007-11-29,46.06828308105469,48.78579255934553,45.46978289890112,48.52698380443317,25530967
2007-11-30,47.847599029541016,48.13875993741204,46.262385741863504,46.90941193176675,18437721
2007-12-03,48.5269775390625,49.12547764394307,48.05788179493057,48.429920977555625,16851227
2007-12-04,47.89613723754883,49.254894335384975,47.540271865455715,48.85050286435377,14008727
2007-12-05,49.80486297607422,49.98279785205799,47.87996225028597,47.977014445965715,27725290
2007-12-06,48.882835388183594,51.64887018175752,48.25198319207124,50.88861364457577,24104710
2007-12-07,48.67255401611328,49.88572808104569,47.79907132211816,49.19017582806985,11742386
2007-12-10,48.72108840942383,49.319584152607185,48.090236089726254,49.14165369727063,8330010
2007-12-11,48.4946174621582,49.4328044098584,48.25198267975678,49.157817445551494,11685950
2007-12-12,48.4622688293457,48.8990123472381,47.55643399721294,47.87994706410704,16342131
2007-12-13,47.65349578857422,49.17400926530553,47.47556532100952,48.52698300081181,14620172
2007-12-14,47.18440628051758,47.92848921661546,46.94177139899337,47.491745552286226,10991851
2007-12-17,44.337486267089844,47.718200260649056,43.67428171197001,47.45938712160436,19355678
2007-12-18,44.14336395263672,45.61534649990914,42.768433560244944,43.83602481563743,21607783
2007-12-19,43.33458709716797,45.95504389252686,42.96254793704477,45.56682644583409,19526912
2007-12-20,42.89784240722656,44.25659904600142,42.70373368912633,43.90073379413879,17105204
2007-12-24,44.20808410644531,44.90363649935758,43.18901417653636,43.54487951809759,16711519
2007-12-26,45.55065155029297,46.10062552308345,44.450707992638826,44.450707992638826,20930094
2007-12-27,45.87417221069336,47.13587251172646,45.48595470825507,46.488846266281016,44565277
2007-12-28,46.23003005981445,46.424138779696335,45.29183864503983,45.77710825078111,18354518
2007-12-31,46.56970977783203,46.84469672252243,46.00356199261552,46.58588806159391,11982308
2008-01-01,47.427040100097656,47.86378375464772,46.37562230370181,46.812365958251874,16687746
2008-01-02,47.16823196411133,47.78290611434081,46.47267952074827,47.42704074696746,13437280
2008-01-03,49.10929870605469,49.30340743857072,46.31091134172383,46.87705925193811,31815218
2008-01-04,48.850494384765625,50.46805998810944,48.52698126409687,49.82103374677192,28011310
2008-01-07,48.44609832763672,49.56221585391419,47.92847650673131,48.543150499338374,15858063
2008-01-08,46.796173095703125,49.173994795617425,46.23002528086288,48.49461654022386,13282666
2008-01-09,46.05210876464844,47.055000455333754,45.938878279132204,46.84471777533396,13113527
2008-01-10,44.9521484375,47.55643110010215,44.64480928750281,46.26237891135868,18023003
2008-01-11,45.63153076171875,46.06827429174438,43.83603055781936,45.56682639137165,11629440
2008-01-14,46.32707977294922,46.81234935299732,44.98450147906813,45.71240584914028,10264240
2008-01-15,44.919795989990234,47.26526556824016,44.54775686550831,47.07116125141585,11558334
2008-01-16,43.9977912902832,44.968330610454416,42.881673704842704,44.59629141530758,14834065
2008-01-17,45.178627014160156,46.18151873067656,43.221369679619,44.159557006194376,16169395
2008-01-18,43.075782775878906,44.85510487646661,42.703739189959585,44.806574399745045,13254156
2008-01-21,35.74821090698242,42.70374344833289,31.13814644723972,42.70374344833289,33202389
2008-01-22,32.157203674316406,33.968877553369225,25.54136033342955,32.22190584271904,58755707
2008-01-23,35.74821090698242,37.12314175817961,32.67483606312989,32.67483606312989,28425991
2008-01-24,35.82908630371094,38.36866513699548,34.13064244798864,37.673112816523265,29911930
2008-01-25,37.67310333251953,37.851033746012135,36.152590317863954,37.527520712079145,12550722
2008-01-28,38.07749557495117,38.36865643516992,34.130634707325896,37.155482527653106,13601109
2008-01-29,37.44666290283203,38.72454183987437,36.880514784281665,38.17456762668251,7679877
2008-01-30,35.37617111206055,37.68928915929557,34.90707530919857,37.5275325911263,9016102
2008-01-31,33.06305694580078,35.84527130709622,32.674841549657394,35.74821690956931,41538563
2008-02-01,34.21153259277344,34.45416751346078,33.321871216919845,33.62920834433091,9089201
2008-02-04,35.97466278076172,36.395230222943006,34.85854309517702,34.85854309517702,12009385
2008-02-05,37.09079360961914,37.576063374704376,35.26294503871708,36.039375785267794,14593303
2008-02-06,36.767276763916016,37.20402038649606,34.712969613098146,36.071724380954834,12429218
2008-02-07,35.03647994995117,37.511356622978276,34.81002120578259,36.26583023910545,11300078
2008-02-08,34.130638122558594,35.55409477222915,33.499785872353954,35.262933882875814,13514197
